conserved	specific	contigs	genome_size
public_111078	2400	10	22	4998456
public_111132	2374	10	123	5265875
public_111316	2188	10	20	5373651
public_111558	2368	10	173	5270688
public_11160	2380	10	100	5151529
public_11168	2353	9	29	5170734
public_111706	2219	9	427	5420890
public_111774	2405	10	5	5215377
public_111810	2361	10	54	5238883
public_112226	2336	10	222	5087487
public_112365	2406	10	593	5270422
public_112493	2402	10	194	5217671
public_112545	2393	10	208	5311118
public_112643	2412	10	134	5216186
public_112701	2389	10	202	4993615
public_112765	2170	9	37	4815844
public_112768	2360	10	2	NA
public_112902	2204	10	42	5111899
public_112948	2321	5	157	4941536
public_113041	2354	9	297	5216087
public_113312	2228	10	33	5150241
public_113360	2389	10	31	5196818
public_113642	2212	10	161	5070446
public_113689	2389	10	35	5298684
public_114103	2282	10	113	5315153
public_114529	2405	10	104	5089225
public_114541	2382	9	205	5330288
public_1147	2390	10	44	4883311
public_11478	2371	10	280	5480420
public_114940	2289	10	199	5170144
public_115350	2382	9	124	5243480
public_115865	2372	10	127	4918175
public_116070	2399	10	102	5167101
public_116126	2408	10	66	5513241
public_116305	2391	10	131	5195547
public_116503	2364	10	191	5059053
public_116709	2206	10	182	5071105
public_116743	2379	10	71	5504334
public_116792	2207	10	12	4770601
public_116819	2390	10	54	5244827
public_117119	2393	10	164	5065396
public_117348	2405	10	143	4727785
public_117381	2416	10	36	5236757
public_117482	2133	10	284	5200769
public_117895	2389	10	121	5318128
public_118197	2183	10	72	5481558
public_118331	2386	10	92	5300297
public_118752	2296	7	72	5191784
public_118969	2399	10	55	4892219
public_119076	33	0	19	5330172
public_119125	2385	7	35	4946233
public_119299	2365	10	164	4901577
public_119496	2380	9	310	5243318
public_119678	2386	10	271	4889963
public_119764	2329	10	187	4959507
public_119805	2392	10	88	5551478
public_119968	2403	10	3	5389708
public_119982	2220	10	36	5212383
public_120021	2212	10	114	5233428
public_120073	2202	10	129	5363959
public_120115	57	0	64	5248121
public_120185	2406	10	85	5243875
public_120376	2410	10	82	4846195
public_120435	2203	9	237	5543118
public_12047	2363	10	38	5108590
public_120564	2213	10	194	4789923
public_120665	2307	10	81	5361548
public_120739	2382	10	27	5174379
public_121301	2391	10	66	5460881
public_121404	2172	9	1232	5268458
public_121661	2291	9	91	4961257
public_122075	2282	10	136	5211861
public_122432	2326	3	109	5243332
public_122636	2312	9	146	5232863
public_12264	2394	10	56	4809931
public_123013	2214	10	479	5381049
public_123054	2400	10	33	5524392
public_123165	2390	10	42	5238087
public_123233	2321	8	183	5301749
public_12341	2390	10	540	5364905
public_123421	2406	10	442	5362606
public_123527	2387	10	196	5184957
public_123834	2391	10	130	5008742
public_123946	2349	10	417	5337645
public_124045	2340	9	175	5139488
public_124075	2211	10	167	5301549
public_124082	2356	10	103	5178168
public_124344	2406	10	137	5720629
public_124531	2383	10	442	5497155
public_124700	2171	9	17	5288048
public_12474	2375	10	74	5198674
public_124870	2332	9	35	5176274
public_124981	2375	10	78	5297946
public_125080	2393	10	46	5249735
public_125118	2380	10	130	5513970
public_125562	2384	10	136	5056041
public_125751	2339	10	267	5806227
public_125774	2388	10	113	5046870
public_126044	2400	10	34	4979314
public_126103	2384	10	141	5161006
public_126106	2344	10	467	5013840
public_126741	2357	9	94	5455075
public_126784	2392	10	20	5040476
public_126908	2364	10	135	4796164
public_127079	2343	10	154	5105283
public_127267	2397	10	133	5230651
public_1273	2383	10	220	5338618
public_127456	2375	9	132	4841123
public_127493	2327	4	157	5033153
public_127582	2407	10	215	5238812
public_127741	2211	10	121	5220322
public_127773	2333	9	222	4922974
public_127822	2101	10	99	5090477
public_128275	2352	9	165	5118532
public_128372	2219	10	180	5179950
public_128439	2398	9	212	5266457
public_128534	2327	10	72	4743923
public_129015	2388	10	99	5207327
public_129048	2389	10	687	4841361
public_12921	2380	10	52	5091823
public_129242	2331	9	126	5118609
public_129682	2167	9	527	5349602
public_129925	2352	8	125	4841867
public_129928	2409	10	55	5104926
public_130099	2228	10	54	5048123
public_130121	2226	10	85	4929019
public_130145	2219	10	100	5048678
public_130267	2396	10	190	5396988
public_130301	2341	10	44	5205284
public_130508	2334	5	451	4952805
public_13055	2410	10	40	5073744
public_131069	2397	10	540	5282923
public_131263	2407	10	110	5050751
public_131322	2399	10	59	5197731
public_131440	2336	7	134	5287643
public_131597	2384	10	197	5181350
public_131740	2386	10	112	5125477
public_132196	2387	10	55	5258683
public_132395	2375	9	36	5099948
public_13255	2395	10	113	5237252
public_132552	2220	10	72	5633487
public_132580	2381	10	42	4837610
public_132619	2353	9	22	4909757
public_132677	2209	10	23	5234535
public_132753	2394	10	512	5278719
public_132949	2220	10	194	5319411
public_133013	2410	10	173	5279952
public_133018	2382	10	145	5189917
public_13311	2388	6	154	5340365
public_133122	2354	10	7	5629932
public_133283	2382	10	2008	4992360
public_133412	2357	10	182	5117966
public_133469	2396	9	174	5360435
public_133544	2211	10	38	5201339
public_133612	2222	10	46	5434019
public_133617	2221	10	27	5207824
public_133655	2340	10	276	4439218
public_133834	2391	10	30	5512513
public_133911	2400	10	102	5291097
public_134084	2383	10	147	5731065
public_134122	2371	10	186	5433287
public_134187	2354	9	46	5199931
public_134361	2312	9	54	5171866
public_134400	2213	10	18	4798547
public_134403	2367	10	5	5855531
public_135190	2195	9	47	5328694
public_135354	2197	9	34	5006922
public_135390	2362	8	164	5080723
public_13549	2387	10	72	5090937
public_135705	2412	10	564	5498278
public_135837	2390	10	377	5009341
public_135895	2002	9	180	5133769
public_136020	2329	9	87	5347495
public_136324	2410	9	109	5834353
public_136356	2321	8	153	5286217
public_136545	2361	10	114	5063548
public_136662	2334	10	378	4939390
public_136862	2369	10	113	5398184
public_136925	2222	10	68	5430771
public_136965	2384	10	57	5684557
public_137172	2357	10	75	5290142
public_137378	2287	10	145	5064758
public_137656	2392	10	67	5026573
public_137771	2392	9	68	4957077
public_137907	2391	10	203	5269727
public_138360	2209	10	127	5362266
public_138402	2121	9	453	5405264
public_139636	2223	10	197	5155456
public_139697	2327	8	80	5408446
public_139924	2392	10	294	5377964
public_139998	2330	10	118	5123375
public_140054	2328	9	471	5327597
public_140334	2313	9	234	5196662
public_140389	2210	10	24	5144669
public_140423	2296	4	194	5168201
public_140478	2305	9	568	5619284
public_14055	2396	10	714	5284681
public_140709	2315	8	162	5141632
public_140870	2309	10	412	4657618
public_141067	2367	10	72	5318353
public_141116	2373	10	144	5491234
public_141230	2404	10	303	5317915
public_141338	2215	9	116	5071532
public_141341	2411	10	199	5148982
public_141356	2388	10	38	5133891
public_141359	2383	10	58	5382866
public_141495	2211	10	28	4757267
public_141538	2218	10	279	5151627
public_141594	2358	10	61	5404073
public_141672	2400	10	889	5363865
public_141781	2335	10	305	5308032
public_141897	2163	10	463	5368481
public_141962	2339	8	72	4905150
public_141969	2307	8	121	4746131
public_142178	2289	10	15	5365353
public_142252	2369	8	56	5029585
public_142422	2377	10	137	5194603
public_142482	2182	10	635	5100083
public_142631	1723	8	202	5159971
public_14319	2383	9	68	4970425
public_144377	2389	10	59	5076849
public_144616	2391	10	48	5177664
public_145093	2329	10	42	5132563
public_145218	2392	10	422	5127850
public_14533	2232	10	139	4942875
public_145346	2309	7	192	5313051
public_145350	2400	10	721	5250383
public_145399	2228	10	508	5303619
public_145443	2385	10	68	5267286
public_14574	2367	10	1763	5733561
public_146123	2349	10	213	5312674
public_146227	2402	9	155	5427639
public_146283	2384	10	330	5329433
public_146507	2384	8	2	4894879
public_146677	2403	10	604	5473073
public_146821	2391	10	36	5248342
public_146897	2388	10	573	5362999
public_146999	2392	10	35	5191651
public_147191	2247	9	412	630582
public_14735	2180	10	160	5084721
public_147616	2350	9	479	5155453
public_147816	2406	10	20	5044148
public_147966	2326	10	100	5371046
public_148137	2193	10	228	5002178
public_148161	2406	10	205	5284996
public_148290	2212	10	35	4987395
public_148342	2369	10	38	5407289
public_148460	2366	10	39	5048860
public_148503	2392	9	178	5372278
public_148624	2389	10	127	5096112
public_148800	2222	10	179	5242349
public_14883	2226	10	117	5077949
public_148857	2391	10	350	5165737
public_149000	2341	10	203	4718532
public_149194	2383	10	193	5332957
public_14933	2356	10	201	5124973
public_149401	2357	8	278	5232730
public_149574	2226	10	10	5411202
public_149602	2204	10	71	5596176
public_149623	2331	9	329	5029861
public_149651	2382	10	53	4982067
public_149785	2260	8	21	5384699
public_149871	2058	8	410	4752681
public_150817	2213	10	200	5239725
public_150941	2339	10	183	5279978
public_151117	2332	10	22	5083031
public_151181	2209	10	305	5390338
public_151248	2405	10	210	5394923
public_151374	2211	10	124	4808014
public_151463	2209	10	138	5099621
public_151513	2352	9	28	4964739
public_151738	2352	10	128	5243626
public_152201	2388	10	135	5705645
public_152757	2199	10	154	5253303
public_152787	2223	10	122	5089558
public_152791	2314	10	49	5226086
public_152852	2399	9	27	5374450
public_152867	2329	10	93	5015691
public_152951	2369	10	152	4932153
public_152959	2205	10	447	5207755
public_153193	2371	10	97	4864594
public_153324	2322	10	267	4974286
public_153399	2344	10	37	5159546
public_153402	2202	10	213	5333492
public_153526	2384	10	182	5294539
public_15357	2218	10	30	4928679
public_153700	2328	10	465	5408410
public_153718	2352	9	37	5150742
public_153984	2361	10	200	4995834
public_154177	2339	9	1583	5287055
public_154877	2326	5	121	4626542
public_155073	2396	10	174	5404125
public_155079	2406	10	175	5512221
public_155403	2213	10	28	5166171
public_155461	2403	10	530	5255600
public_155633	2387	10	77	5205684
public_156183	2328	10	72	5200940
public_156371	2311	10	177	5497778
public_156783	2208	10	134	5233214
public_156822	2333	10	140	5209632
public_156839	2412	10	267	5201104
public_156902	2209	9	31	5112062
public_156977	2408	10	195	5110714
public_157010	2209	10	454	5767717
public_157058	2321	8	112	4982329
public_15713	2231	10	538	5423279
public_157248	2374	9	57	5341579
public_157292	1325	5	50	5035467
public_15758	2391	10	157	5178221
public_15884	2338	10	76	4950713
public_15903	2355	9	192	5514688
public_159854	2211	10	197	5607136
public_159895	2207	10	35	5375759
public_159933	2405	10	225	5215424
public_159997	2415	10	109	5130349
public_160097	2179	10	21	5626191
public_160188	2361	10	234	5457657
public_160479	2383	10	113	5060232
public_160694	2382	10	512	5116813
public_161248	2201	10	534	5059556
public_161371	2354	10	788	5604410
public_161461	2193	9	21	5271024
public_161529	2400	10	132	5278042
public_161698	2382	10	1	4638970
public_161784	2185	10	127	4896881
public_161863	2361	10	148	5124874
public_161891	1996	9	26	5154593
public_16214	2409	10	202	5153432
public_162497	2337	10	197	5161773
public_162545	2399	10	250	5677181
public_162613	2369	10	235	5246212
public_162620	2212	10	54	5325581
public_162663	2353	8	91	4982349
public_162817	2405	10	130	4968686
public_162919	2389	10	120	5230217
public_163060	2383	10	488	5359321
public_163292	2218	10	65	5175953
public_163353	2382	9	106	5370013
public_163572	2254	9	387	4735492
public_16395	2213	10	163	4974350
public_164209	2383	10	83	5279646
public_164690	2391	10	158	5098548
public_164916	2404	10	124	5384883
public_16536	2305	9	13	5240229
public_165407	2384	10	96	5351311
public_16565	2401	10	68	5294966
public_166032	2381	10	58	5560038
public_16610	2379	10	43	5423822
public_166149	2389	10	175	5514291
public_166189	2200	8	32	5381621
public_166295	2327	9	145	4527885
public_166387	2331	7	2	5107563
public_166614	2201	10	196	5104012
public_166660	2393	10	218	5017109
public_166865	2340	10	58	5124621
public_1671	2398	10	131	5034688
public_167336	2323	10	167	5330547
public_167462	2351	10	19	5345955
public_168191	2391	10	136	5099354
public_168309	2370	10	727	5332458
public_168441	2219	10	84	5273285
public_168501	2338	10	218	5330283
public_168506	2322	8	37	5370491
public_168678	2382	10	414	4934747
public_169230	2389	10	477	5492799
public_169720	2397	10	109	4973347
public_169916	2329	9	76	5266738
public_170005	2398	10	84	4763495
public_170133	2360	10	47	5409363
public_170274	1650	6	42	5435258
public_170300	2387	9	460	5313804
public_170505	2383	10	217	5350327
public_170603	2395	10	455	5457046
public_170909	2212	10	183	5427531
public_170966	2198	10	207	4838211
public_171015	2363	10	31	4869025
public_171605	2387	10	70	5136066
public_172145	33	0	46	5243431
public_172559	2411	10	78	5196727
public_172564	2388	10	222	5370013
public_172846	2390	10	31	5003977
public_173021	2220	10	225	5361555
public_173068	2388	10	298	5224079
public_173517	2389	10	136	5190755
public_173619	2208	10	1	5231428
public_173656	2334	10	175	4940080
public_173715	2354	9	59	5525129
public_173807	2391	10	95	5294424
public_173991	2372	10	141	5225515
public_174399	2403	10	432	5343125
public_174513	2225	10	28	5209638
public_174558	2321	9	17	5559237
public_175292	2403	10	24	5127193
public_175474	2392	10	35	5167295
public_17570	2379	10	136	5219518
public_175795	2211	9	97	5168278
public_175976	2325	10	195	5101298
public_176028	2401	10	122	5043302
public_176048	2210	9	19	5000790
public_176088	2388	10	47	5371562
public_176553	2339	10	16	5467890
public_176663	2222	10	32	4997489
public_176709	2360	10	162	5446689
public_17680	2303	10	130	5247655
public_176833	2411	10	440	5374926
public_177015	2304	7	50	5363291
public_177477	824	1	10	5670297
public_177721	2399	10	52	4722775
public_177765	2173	9	171	5351729
public_178829	2209	10	170	5214745
public_178947	2395	10	27	5319871
public_179000	2370	10	161	5221067
public_179046	2393	10	72	5573061
public_179165	2398	10	57	4552331
public_179221	2345	10	110	4933944
public_179294	2357	9	791	5296992
public_179436	2381	10	566	5477767
public_179568	2221	10	102	4543825
public_179601	2218	10	19	5050003
public_17961	2384	10	292	5097562
public_179647	2271	10	225	5067531
public_180148	2367	10	209	5048194
public_180388	2337	9	552	5147371
public_180551	2408	10	31	5343614
public_180681	2402	10	47	5199033
public_180725	2195	9	74	5242208
public_1808	2408	10	227	5363751
public_180872	2325	10	142	5106025
public_181156	2373	8	127	5741265
public_181338	2383	10	208	5170154
public_18146	2388	10	694	5245799
public_181468	2323	10	94	5039270
public_181521	2341	10	42	5323084
public_181682	2359	10	101	5005293
public_181876	2388	10	46	5061335
public_181958	2390	10	387	5279004
public_18217	2365	10	62	5197996
public_182748	2368	10	95	5181904
public_182889	2368	10	11	5503383
public_183102	2387	7	104	4956656
public_18313	2213	10	1	3976195
public_183244	2383	10	32	5056628
public_183276	2388	9	171	5131792
public_183475	2350	9	73	5334703
public_183543	2107	6	1	5132068
public_18358	2339	9	34	5084473
public_183757	2216	9	215	5092891
public_183792	2111	8	41	5870822
public_184774	2336	10	506	5324891
public_18495	2306	8	125	5057835
public_185665	2390	10	92	5286387
public_186140	2377	10	46	5070154
public_18624	2372	10	61	5089852
public_186710	2357	10	106	5237667
public_186935	2338	8	45	5172362
public_187098	2399	9	28	5050787
public_187145	2204	10	93	5587017
public_187181	2217	10	1	4638970
public_187228	2388	10	38	4830417
public_18725	2214	10	406	4974660
public_187599	2412	10	39	5280601
public_187644	2398	9	249	5633367
public_187753	2291	10	31	5353135
public_187984	2340	10	437	5430311
public_188007	2369	10	5	5378729
public_188188	2397	10	34	5166355
public_188433	2358	9	222	5035431
public_1888	2189	10	128	5079247
public_188815	2394	10	99	5001541
public_189020	2356	9	89	5139229
public_189058	2281	9	16	5597432
public_18929	2332	9	68	5282858
public_189310	2199	9	270	5024729
public_189464	2404	10	65	5376339
public_189570	2403	10	226	5256796
public_189727	2404	10	187	4591470
public_189818	2207	10	1	4643553
public_189848	2359	10	37	5542971
public_190168	2190	10	144	5153746
public_190298	2383	10	175	5089174
public_190547	2373	10	252	5408383
public_191084	2361	10	154	5197255
public_191263	2393	10	278	5120995
public_19127	2393	10	119	5287221
public_191337	2383	10	29	4854951
public_191465	2331	10	126	5146299
public_191576	2213	10	146	5415668
public_191581	2294	9	211	5038463
public_192003	2191	9	229	5048006
public_192143	2322	10	31	5201864
public_192402	2409	10	54	5053548
public_19243	2390	10	56	5374199
public_192560	2388	10	57	5376981
public_192638	2388	10	167	5302353
public_192739	2388	10	209	5466582
public_192936	2367	10	261	4581474
public_1936	2407	10	481	5494225
public_19394	2333	8	61	5131457
public_194701	2393	10	119	5215961
public_194822	2324	10	38	5256637
public_19487	2394	10	48	5120731
public_195365	2337	10	131	5247604
public_195400	2385	10	99	4993593
public_195636	2206	10	5	5410353
public_195680	2381	10	172	5659114
public_195839	2209	10	306	5179152
public_196023	2413	10	32	5165344
public_196028	2391	10	37	5122875
public_196140	2363	10	59	5188024
public_196285	2213	10	125	5374332
public_196293	2387	10	171	5150322
public_196493	1575	4	1	4798435
public_19698	2359	10	389	4997736
public_196999	2329	9	108	4876419
public_197111	2344	7	26	5386829
public_197433	2409	10	412	5805306
public_197456	2223	10	177	4854831
public_197692	2249	10	38	5101557
public_198178	2202	10	198	5312475
public_19826	2399	10	94	5060331
public_198356	2360	10	194	5198090
public_198461	2390	10	31	5022958
public_198649	2201	10	201	5418621
public_198839	2318	9	207	5242822
public_199083	2208	10	179	5281250
public_19912	2380	10	31	5138078
public_199123	2384	9	246	5937486
public_199240	2328	9	33	4707549
public_199330	2209	10	37	5434724
public_199365	2337	10	73	5344695
public_199413	2201	10	289	5263886
public_199664	2209	10	146	5129701
public_199718	2401	10	188	5135836
public_199726	2329	10	89	5117656
public_199771	2388	9	46	5279092
public_199963	1788	8	54	5356788
public_20046	2400	10	430	5068610
public_20074	2373	10	173	5328781
public_20229	2318	10	134	5321425
public_202606	2380	9	1	5038386
public_202807	2222	10	61	5070425
public_202811	2210	10	33	5074636
public_202847	2193	10	3	4954383
public_202894	2220	10	439	5069316
public_203049	2390	10	427	5254984
public_203176	2335	10	58	5493719
public_203191	2311	10	38	5158222
public_203221	2379	10	503	5522771
public_203294	2365	10	143	5498739
public_203530	2387	10	133	4811932
public_203627	2367	10	566	5492781
public_203762	2213	10	79	4850588
public_203765	1677	6	187	4923516
public_203835	2326	4	52	5157834
public_203931	2386	10	31	5149683
public_204473	2393	10	126	5233942
public_204478	2212	10	21	6323148
public_204518	2287	10	2	5027172
public_20455	2229	10	535	5391143
public_204792	2389	10	145	4818318
public_2049	2397	10	56	5251852
public_20490	2198	10	95	5910749
public_204948	2409	10	21	5657270
public_205129	2395	10	32	5186999
public_20530	2389	6	258	5461005
public_205334	2219	10	156	5383670
public_205358	2339	8	39	5145311
public_205495	2409	10	446	5374292
public_205553	2329	10	267	4956504
public_205569	2208	10	171	5305549
public_205618	2207	10	316	5376914
public_205675	2083	8	64	5165599
public_205938	2210	10	31	5210334
public_206049	2381	10	125	5119812
public_206144	2208	10	110	5286822
public_206177	2302	10	218	4905892
public_206457	1732	9	66	5194722
public_20751	2368	10	29	5106917
public_209173	2187	10	196	5116938
public_209366	2334	10	289	5073176
public_209428	2210	10	69	5329783
public_209454	2211	10	3	4876096
public_209513	2394	10	275	5421612
public_20956	2400	10	87	5026156
public_209570	2393	10	145	5292127
public_209764	2382	10	48	5361432
public_209912	2348	9	30	4803286
public_209977	2330	10	129	4806005
public_210070	2190	10	125	5091310
public_210075	2215	10	62	5190522
public_210113	2326	7	33	5039445
public_210304	2338	9	467	5394783
public_210558	2405	10	211	5062030
public_210670	2174	9	31	5154541
public_210915	2343	10	38	4855080
public_211098	2389	10	62	5208726
public_21116	2334	9	99	5338894
public_211272	2392	10	204	5190939
public_211365	2220	10	132	5279382
public_211423	2391	10	13	5163474
public_211724	2231	5	302	5331263
public_21247	2352	9	419	5297471
public_212509	2370	9	285	5284556
public_212662	2197	10	239	5065600
public_212846	2224	10	223	5180914
public_212849	2393	10	445	5042708
public_213050	2411	10	161	4980382
public_213133	2387	10	201	5293816
public_213266	2216	10	87	4981016
public_213374	2371	9	358	5256474
public_213416	2206	10	34	4591470
public_213613	2397	10	66	5129191
public_213620	2383	10	49	5230874
public_213752	2393	10	44	5164002
public_213951	2375	10	491	5196506
public_214043	2360	10	245	5399645
public_214170	2331	3	288	4980327
public_214352	2389	10	28	5136721
public_214393	2333	10	513	5582719
public_214406	2348	9	175	5099218
public_214495	2200	10	30	4855466
public_214540	2405	10	308	5448064
public_214609	2295	9	91	4979767
public_21484	1983	8	36	4780779
public_214875	2310	9	33	5023500
public_215246	2382	10	288	5081126
public_215564	2389	10	86	4678972
public_215701	2041	7	186	5733133
public_216347	2340	10	87	5044800
public_216363	2222	10	50	5153920
public_2164	2293	10	41	5211768
public_216400	2407	10	148	5231155
public_216519	2398	10	188	5152314
public_216579	2214	10	37	4958338
public_21663	2368	10	170	4279496
public_216697	2375	10	236	5453130
public_216809	2376	10	129	4757741
public_217171	2395	10	62	5123539
public_217221	2308	10	203	5131007
public_217408	2360	10	84	5148762
public_217632	2211	10	185	5136076
public_217652	2339	10	451	5418998
public_218019	2394	9	108	5212450
public_218280	2389	10	223	5312032
public_218376	2379	8	189	5126618
public_218553	2220	10	66	5578209
public_21859	2378	10	56	4997218
public_218602	2336	10	143	5115051
public_21862	2340	10	102	5144646
public_218626	2343	9	83	4837509
public_218714	2367	10	127	5383000
public_218802	2403	10	76	5529264
public_21881	2374	10	409	5590692
public_218937	2404	10	46	5158838
public_219077	2209	10	200	5089556
public_219155	2403	10	172	4946132
public_219159	2334	10	205	5213859
public_219328	2379	10	183	5325397
public_219962	2391	10	66	5159414
public_220056	2135	10	552	5391677
public_220245	2323	10	78	5201575
public_220249	2389	9	2	5132961
public_22040	2378	9	137	5202061
public_220431	2356	9	179	5350954
public_220588	2388	10	43	5253675
public_220994	2299	7	233	4858066
public_221196	2332	10	254	4598368
public_221494	2400	10	47	5332041
public_221532	2401	10	23	4906395
public_221577	2388	10	54	5392282
public_221728	2391	10	46	5243602
public_222169	2229	8	39	5159279
public_222235	2398	10	32	4688419
public_222382	2211	10	150	5093061
public_222461	2397	9	162	5341596
public_22252	2366	10	177	5266165
public_222696	2363	10	176	5033000
public_222960	2353	9	554	5350185
public_223071	2351	9	454	5379068
public_223783	2384	10	84	4802037
public_224383	2180	10	191	5128835
public_224502	2411	10	36	5349327
public_224583	2355	10	165	5933166
public_22460	2385	10	165	5192679
public_224742	2409	10	69	4831934
public_224961	2195	10	88	4941083
public_225035	2333	10	182	5313842
public_225086	2379	9	31	5195095
public_22520	2385	10	151	5075779
public_225282	2219	10	333	5446772
public_225352	2377	10	141	5110390
public_225422	2409	10	191	5142142
public_225539	2296	8	47	5446604
public_225634	2405	10	1	4638920
public_225763	2144	9	437	5076135
public_225813	2375	10	134	5211419
public_225865	2195	10	56	5050485
public_225940	2406	10	121	5123307
public_225991	2382	10	453	5400386
public_226097	1884	4	36	5024607
public_226413	2325	6	394	6042777
public_22651	2402	10	199	5219753
public_226556	2211	10	6	5448306
public_226578	2249	4	46	5239139
public_2268	2359	10	186	5190898
public_226977	2401	10	170	4949921
public_227043	2371	10	194	5068667
public_227082	2217	10	607	5365358
public_227117	2332	10	152	5250401
public_227183	2379	10	302	5014744
public_227329	2368	10	4	5037933
public_227535	2386	10	19	4744060
public_228152	2387	10	206	5300849
public_228274	2284	10	313	5018126
public_22848	2410	10	188	5136013
public_228676	2391	10	447	4872261
public_228871	2406	10	53	4709936
public_229037	2393	10	132	4960028
public_229451	2356	9	101	5319432
public_229592	2363	10	111	5313584
public_229719	2326	10	185	5328058
public_229989	2379	10	35	4876936
public_23011	2401	10	178	5125700
public_230550	2142	10	161	5328929
public_230638	2389	10	184	5320297
public_230780	2387	10	44	5189814
public_230926	2318	10	411	5063123
public_230961	2228	10	135	4814441
public_231015	2316	10	179	5200515
public_231464	2385	9	183	5192042
public_231673	2221	10	46	5111607
public_231718	2402	10	46	4951184
public_231862	2335	10	103	5233040
public_231991	2202	9	408	5655378
public_232116	2211	10	198	5220350
public_232272	2209	10	36	5278586
public_232315	2319	10	39	5130009
public_232379	2388	10	460	5024120
public_23252	2391	10	66	5525229
public_232691	2389	10	113	5333629
public_233197	2392	10	141	5560615
public_233252	2330	10	196	5429390
public_233428	2382	10	61	5233354
public_233433	2387	9	345	5225904
public_23352	2208	9	1	5154862
public_233751	2374	10	222	5027348
public_23398	2210	10	45	5032226
public_234258	2378	10	199	5373077
public_234341	2212	10	267	4441604
public_234376	2379	10	254	5144368
public_234509	2358	10	108	4965006
public_234512	2345	10	209	5318798
public_23457	2205	10	341	5394252
public_234586	2391	10	268	5479272
public_234709	2409	10	39	5188676
public_234908	2214	10	174	5188550
public_234932	2349	10	201	5120061
public_23496	2394	10	3336	4802253
public_234980	2396	10	638	4856995
public_235108	2372	10	48	5101392
public_235211	2396	10	69	5253098
public_235417	2214	10	45	4973481
public_235444	2380	10	37	4915642
public_235738	2333	10	481	5396294
public_235791	2389	9	197	5372575
public_235989	2402	10	66	5298033
public_236228	2207	9	57	5409222
public_236421	2214	10	220	4490742
public_236460	2390	10	90	4917025
public_236933	2178	9	194	5438315
public_236961	2388	10	256	4966689
public_237146	2214	10	393	5315687
public_23715	2368	10	45	5329896
public_237186	2212	10	273	5443649
public_237236	2197	10	182	5331113
public_237359	2216	10	102	5118264
public_237413	2398	10	783	5114446
public_237700	2197	10	11	5301471
public_237756	2328	10	204	5343319
public_237810	2396	10	194	4813112
public_238030	2380	9	33	5102049
public_238210	2355	10	168	5235472
public_238576	2386	10	453	5115251
public_238579	2206	10	507	5191076
public_238640	2332	9	488	5376430
public_238719	2349	9	33	5276892
public_238920	2204	10	284	5473621
public_239054	2221	9	75	5231226
public_239158	2211	10	199	5148324
public_23921	2200	10	209	4924977
public_239282	2362	10	334	4963278
public_23950	2380	9	232	5252119
public_239567	2364	10	84	5337291
public_239684	2332	10	148	5240824
public_239727	2317	9	560	5292880
public_240027	2378	10	189	5121149
public_2404	2208	10	138	5490266
public_240434	2209	10	271	5577517
public_240588	2402	9	73	5061577
public_240688	2387	10	115	4893842
public_2408	2366	10	111	4986620
