	ref|NC_000913	ref|NC_002655	ref|NC_010658	ref|NC_011740	ref|NC_011751	ref|NC_013353	ref|NC_013716	ref|NC_013850	ref|NC_016822	ref|NC_016856	ref|NC_017328	ref|NC_017340	ref|NC_017634	ref|NC_017646	ref|NC_017728	ref|NC_017910	ref|NC_018106	ref|NC_018522	ref|NC_022912
1436893158000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893159000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893160000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893161000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893162000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893163000	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
1436893164000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893165000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893166000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893167000	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
1436893168000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893169000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893170000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893171000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893172000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893173000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893174000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893175000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893176000	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
1436893177000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893178000	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893179000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893180000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893181000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893182000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893183000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893184000	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
1436893185000	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1
1436893186000	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
1436893187000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893188000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893189000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893190000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893191000	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
1436893192000	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893193000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893194000	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
1436893195000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893196000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893197000	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893198000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893199000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893200000	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
1436893201000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893202000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893203000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893204000	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893205000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893206000	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893207000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893208000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893209000	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
1436893210000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893211000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893212000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893213000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893214000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893215000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893216000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893217000	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
1436893218000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893219000	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1
1436893220000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893221000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893222000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893223000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893224000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893225000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893226000	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893227000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893228000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893229000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893230000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893231000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893232000	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1
1436893233000	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
1436893234000	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893235000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893236000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893237000	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893238000	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893239000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893240000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893241000	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893242000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893243000	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
1436893244000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893245000	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1
1436893246000	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
1436893247000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893248000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893249000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893250000	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893251000	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1
1436893252000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893253000	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893254000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893255000	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
1436893256000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893257000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893258000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893259000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893260000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893261000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893262000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893263000	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893264000	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
1436893265000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893266000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893267000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893268000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893269000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893270000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893271000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893272000	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893273000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893274000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893275000	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893276000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893277000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893278000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893279000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893280000	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
1436893281000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893282000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893283000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893284000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893285000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893286000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893287000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893288000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893289000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893290000	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893291000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893292000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893293000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893294000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893295000	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
1436893296000	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893297000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893298000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893299000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893300000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893301000	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
1436893302000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893303000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893304000	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
1436893305000	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893306000	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1436893307000	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
1436893308000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893309000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893310000	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1
1436893311000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893312000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893313000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893314000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893315000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893316000	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893317000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893318000	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893319000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893320000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893321000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893322000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893323000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893324000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893325000	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
1436893326000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893327000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893328000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893329000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893330000	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1
1436893331000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893332000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893333000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893334000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893335000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893336000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893337000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893338000	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1
1436893339000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893340000	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1
1436893341000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893342000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893343000	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1
1436893344000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893345000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893346000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893347000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893348000	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893349000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893350000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893351000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893352000	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893353000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893354000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893355000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893356000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893357000	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
1436893358000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893359000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893360000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893361000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893362000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893363000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893364000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893365000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893366000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893367000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893368000	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893369000	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1
1436893370000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893371000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893372000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893373000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893374000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893375000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893376000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893377000	0	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893378000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893379000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893380000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893381000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893382000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893383000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893384000	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0
1436893385000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893386000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893387000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893388000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893389000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893390000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893391000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893392000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893393000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893394000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893395000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893396000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893397000	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
1436893398000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893399000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893400000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893401000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893402000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893403000	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893404000	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1
1436893405000	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1
1436893406000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893407000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893408000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893409000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893410000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893411000	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893412000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893413000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893414000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893415000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893416000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893417000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893418000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893419000	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893420000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893421000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893422000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893423000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893424000	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
1436893425000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893426000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893427000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893428000	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
1436893429000	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
1436893430000	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1
1436893431000	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893432000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
